Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_nrh250,PRAC_MOPAC_buf8_nrh250,PRAC_MOPAC_buf16_nrh250,PRAC_MOPAC_buf32_nrh250,PRAC_MOPAC_buf64_nrh250
GMEAN,1.000,1.099,1.341,1.135,1.036,1.019,1.015
cam4,1.000,1.084,1.157,1.031,1.008,1.005,1.001
mix1,1.000,1.148,1.402,1.199,1.048,1.022,1.021
mcf,1.000,1.031,1.386,1.139,1.028,1.012,1.008
add,1.000,1.005,1.176,1.000,1.000,1.000,1.000
mix4,1.000,1.157,1.446,1.224,1.046,1.013,1.013
mix6,1.000,1.126,1.398,1.163,1.031,1.014,1.009
xalancbmk,1.000,1.130,1.315,1.037,1.002,1.000,1.000
scale,1.000,1.010,1.131,1.001,1.000,1.000,1.000
omnetpp,1.000,1.176,1.458,1.267,1.092,1.063,1.057
lbm,1.000,1.121,1.442,1.259,1.057,1.026,1.011
mix2,1.000,1.142,1.403,1.215,1.064,1.034,1.028
cactuBSSN,1.000,1.158,1.487,1.268,1.138,1.044,0.993
mix3,1.000,1.137,1.429,1.210,1.039,1.029,1.025
fotonik3d,1.000,1.178,1.696,1.374,1.074,1.013,1.003
masstree,1.000,1.072,1.391,1.071,1.008,1.006,1.007
bwaves,1.000,1.089,1.539,1.195,1.000,1.000,1.000
triad,1.000,1.008,1.194,1.001,1.000,1.000,1.000
blender,1.000,1.092,1.048,1.003,1.002,1.001,1.001
mix5,1.000,1.119,1.365,1.161,1.032,1.024,1.025
roms,1.000,1.094,1.300,1.053,1.000,0.989,0.991
xz,1.000,1.179,1.460,1.281,1.118,1.099,1.097
parest,1.000,1.042,1.288,1.072,1.053,1.053,1.054
copy,1.000,1.006,1.133,1.001,1.000,1.000,1.000
