Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_nrh500,PRAC_MOPAC_buf8_nrh500,PRAC_MOPAC_buf16_nrh500,PRAC_MOPAC_buf32_nrh500,PRAC_MOPAC_buf64_nrh500
GMEAN,1.000,1.099,1.099,1.035,1.008,1.004,1.003
cam4,1.000,1.084,1.025,1.010,1.008,1.000,1.000
mix1,1.000,1.148,1.143,1.047,1.007,1.002,1.000
mcf,1.000,1.031,1.104,1.035,1.008,1.005,1.005
add,1.000,1.005,0.999,1.000,1.000,1.000,1.000
mix4,1.000,1.157,1.157,1.052,1.009,1.001,1.001
mix6,1.000,1.126,1.115,1.035,1.002,1.001,1.001
xalancbmk,1.000,1.130,1.018,1.002,1.001,1.000,1.000
scale,1.000,1.010,1.000,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.199,1.083,1.034,1.025,1.019
lbm,1.000,1.121,1.198,1.068,1.023,1.013,1.008
mix2,1.000,1.142,1.161,1.065,1.018,1.007,1.006
cactuBSSN,1.000,1.158,1.239,1.131,1.018,1.000,0.998
mix3,1.000,1.137,1.144,1.040,1.010,1.005,1.004
fotonik3d,1.000,1.178,1.316,1.106,1.024,1.011,1.010
masstree,1.000,1.072,1.048,1.008,1.001,1.000,1.000
bwaves,1.000,1.089,1.122,1.010,0.998,1.000,1.000
triad,1.000,1.008,1.000,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.003,1.001,1.000,1.000,1.000
mix5,1.000,1.119,1.106,1.029,1.008,1.003,1.004
roms,1.000,1.094,1.032,0.996,0.987,0.986,1.000
xz,1.000,1.179,1.207,1.084,1.032,1.024,1.020
parest,1.000,1.042,1.028,1.011,1.006,1.006,1.005
copy,1.000,1.006,1.000,1.000,1.000,1.000,1.000
