Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOAT_nrh1000,PRAC_MOAT_nrh500,PRAC_MOAT_nrh50,PRAC_MOAT_nrh75,PRAC_MOAT_nrh100,PRAC_MOAT_nrh200,PRAC_MOAT_nrh4000
GMEAN,1.000,1.099,1.099,1.099,1.195,1.099,1.099,1.099,1.099
cam4,1.000,1.084,1.084,1.084,1.085,1.084,1.084,1.084,1.084
mix1,1.000,1.148,1.148,1.148,1.261,1.148,1.148,1.148,1.148
mcf,1.000,1.031,1.031,1.031,1.155,1.031,1.031,1.031,1.031
add,1.000,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
mix4,1.000,1.157,1.157,1.157,1.293,1.157,1.157,1.157,1.157
mix6,1.000,1.126,1.126,1.126,1.221,1.126,1.126,1.126,1.126
xalancbmk,1.000,1.130,1.130,1.130,1.175,1.130,1.130,1.130,1.130
scale,1.000,1.010,1.010,1.010,1.010,1.010,1.010,1.010,1.010
omnetpp,1.000,1.176,1.176,1.176,1.313,1.176,1.176,1.176,1.176
lbm,1.000,1.121,1.121,1.121,1.439,1.121,1.121,1.121,1.121
mix2,1.000,1.142,1.142,1.142,1.305,1.142,1.142,1.142,1.142
cactuBSSN,1.000,1.158,1.158,1.158,1.360,1.158,1.158,1.158,1.158
mix3,1.000,1.137,1.137,1.137,1.277,1.137,1.137,1.137,1.137
fotonik3d,1.000,1.178,1.178,1.178,1.350,1.178,1.178,1.178,1.178
masstree,1.000,1.072,1.072,1.072,1.106,1.072,1.072,1.072,1.072
bwaves,1.000,1.089,1.089,1.089,1.142,1.089,1.089,1.089,1.089
triad,1.000,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
blender,1.000,1.092,1.092,1.092,1.094,1.092,1.092,1.092,1.092
mix5,1.000,1.119,1.119,1.119,1.234,1.119,1.119,1.119,1.119
roms,1.000,1.094,1.094,1.094,1.131,1.094,1.094,1.094,1.094
xz,1.000,1.179,1.179,1.179,1.349,1.179,1.179,1.179,1.179
parest,1.000,1.042,1.042,1.042,1.315,1.042,1.042,1.042,1.042
copy,1.000,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006
